Time,DEMG1_AR1,DEMG1_AR2,DEMG1_AR3,DEMG1_AR4,DEMG1_AR5,DEMG1_AR6,DEMG1_RMS,DEMG2_AR1,DEMG2_AR2,DEMG2_AR3,DEMG2_AR4,DEMG2_AR5,DEMG2_AR6,DEMG2_RMS,DEMG3_AR1,DEMG3_AR2,DEMG3_AR3,DEMG3_AR4,DEMG3_AR5,DEMG3_AR6,DEMG3_RMS,DEMG4_AR1,DEMG4_AR2,DEMG4_AR3,DEMG4_AR4,DEMG4_AR5,DEMG4_AR6,DEMG4_RMS,DEMG5_AR1,DEMG5_AR2,DEMG5_AR3,DEMG5_AR4,DEMG5_AR5,DEMG5_AR6,DEMG5_RMS,DEMG6_AR1,DEMG6_AR2,DEMG6_AR3,DEMG6_AR4,DEMG6_AR5,DEMG6_AR6,DEMG6_RMS,DEMG7_AR1,DEMG7_AR2,DEMG7_AR3,DEMG7_AR4,DEMG7_AR5,DEMG7_AR6,DEMG7_RMS,DEMG8_AR1,DEMG8_AR2,DEMG8_AR3,DEMG8_AR4,DEMG8_AR5,DEMG8_AR6,DEMG8_RMS,DEMG9_AR1,DEMG9_AR2,DEMG9_AR3,DEMG9_AR4,DEMG9_AR5,DEMG9_AR6,DEMG9_RMS,DEMG10_AR1,DEMG10_AR2,DEMG10_AR3,DEMG10_AR4,DEMG10_AR5,DEMG10_AR6,DEMG10_RMS,DEMG11_AR1,DEMG11_AR2,DEMG11_AR3,DEMG11_AR4,DEMG11_AR5,DEMG11_AR6,DEMG11_RMS,DEMG12_AR1,DEMG12_AR2,DEMG12_AR3,DEMG12_AR4,DEMG12_AR5,DEMG12_AR6,DEMG12_RMS,DEMG13_AR1,DEMG13_AR2,DEMG13_AR3,DEMG13_AR4,DEMG13_AR5,DEMG13_AR6,DEMG13_RMS,DEMG14_AR1,DEMG14_AR2,DEMG14_AR3,DEMG14_AR4,DEMG14_AR5,DEMG14_AR64,DEMG14_RMS,knee_angle_r,ankle_angle_r,knee_angle_r_moment,ankle_angle_r_moment,knee_angle_l,ankle_angle_l,knee_angle_l_moment,ankle_angle_l_moment
0,0.470113063,-0.697457128,0.447581363,-0.435433174,0.23762392,-0.260587216,0.004899621,0.280296914,-0.566606576,0.398263255,-0.292454291,0.303368683,-0.27893453,0.004432354,1.00749491,-1.131585451,0.900482602,-1.033218814,0.677143672,-0.485871205,0.026236727,0.868125657,-1.464499147,0.824735854,-1.033836644,0.473070401,-0.433439473,0.082067334,0.326851499,-0.945732261,0.442131862,-0.670195982,0.325092773,-0.323924132,0.006044009,4.706703219,-9.603494604,11.02381401,-7.587177462,2.976155348,-0.516463692,0.001299176,0.731802874,-0.975764814,0.624373557,-0.663228983,0.306593201,-0.249139922,0.050338282,0.721056171,-0.791958054,0.5421209,-0.670160297,0.276521654,-0.430146186,0.026169736,0.617862418,-0.771727298,0.664322313,-0.634017675,0.262110011,-0.331740517,0.009859298,0.337070234,-1.077846248,0.363410132,-0.8147941,0.270323818,-0.450230377,0.01568254,0.432690719,-0.872085514,0.334303003,-0.727722501,0.2296183,-0.361775794,0.064313524,0.50088593,-1.074891175,0.486366263,-0.837571728,0.239043518,-0.419219439,0.050965546,0.410820328,-0.751378379,0.468301087,-0.531698941,0.300484173,-0.404394119,0.039816921,0.906863015,-0.978716881,0.701950319,-0.694931551,0.585569531,-0.36087132,0.039795121,-24.52285955,16.7976858,-3.40513039,-35.36929475,-24.42374561,17.37618343,-12.39880006,-47.14898676
0.05,0.589625542,-0.794436437,0.74651008,-0.669869101,0.300212665,-0.329285062,0.004216883,0.142912375,-0.493684985,0.332267421,-0.368571858,0.158916579,-0.317341975,0.004426407,0.847376144,-0.895534283,0.790332386,-0.870758272,0.42631178,-0.381239491,0.023257898,0.838126696,-1.042557964,0.695536204,-0.550693742,0.321160105,-0.288859915,0.078552201,0.469013185,-0.857181172,0.599288451,-0.64621281,0.321104837,-0.261369268,0.005513313,4.808754447,-10.00946833,11.68310693,-8.1689505,3.276711014,-0.591613416,0.000590938,0.786616676,-0.927201325,0.636501075,-0.63618985,0.393650748,-0.270263456,0.04182269,0.698670558,-0.950149644,0.636073476,-0.730289261,0.237874597,-0.305976777,0.018407231,0.874506773,-1.035258736,0.821389585,-0.705214163,0.247360831,-0.319222199,0.008942637,0.60594681,-1.207666797,0.670857942,-0.877795334,0.356417958,-0.384636085,0.018289876,0.435963115,-0.971299954,0.383121147,-0.598553357,0.0719302,-0.22587398,0.060034475,0.460253795,-0.920379827,0.376787131,-0.606972006,0.187490659,-0.426446971,0.049261668,0.533840201,-0.949858537,0.543736022,-0.639792459,0.293036965,-0.288820704,0.044470506,0.904232026,-1.048897506,0.842047872,-0.867946186,0.740392022,-0.419556916,0.038091209,-24.72500009,16.63609704,-4.67346862,-38.90097317,-24.60815211,17.2112071,-13.04846123,-48.58706904
0.1,0.498026457,-0.803478953,0.616367174,-0.616463987,0.252031673,-0.356358784,0.004461556,0.19341686,-0.674923763,0.314870279,-0.387178414,0.031871247,-0.188655969,0.004184783,0.877748421,-1.10670444,0.894735732,-0.935231503,0.446254267,-0.40393436,0.024863051,0.829881067,-1.023256002,0.790780075,-0.759446225,0.307700233,-0.308636205,0.045717422,0.398833245,-0.61986313,0.447653757,-0.531377279,0.290711116,-0.243762782,0.00479766,4.820459881,-10.03865666,11.72222858,-8.213194203,3.307065228,-0.598859688,0.000714643,1.076557245,-1.218916002,0.895049738,-0.808373215,0.481064677,-0.237492211,0.034124124,0.826690375,-0.897091554,0.737257785,-0.73030122,0.18108955,-0.299028061,0.019659203,0.831039008,-1.001709822,0.711446114,-0.627831507,0.258625766,-0.215689328,0.009800101,0.665838441,-1.124106548,0.699292169,-0.862369708,0.386497873,-0.40304858,0.016793517,0.403853215,-1.090727848,0.489621562,-1.005865306,0.203111094,-0.507669707,0.060996729,0.485854381,-0.963484999,0.444839108,-0.683414674,0.121238068,-0.443518991,0.058528732,0.703150412,-1.062745384,0.651604031,-0.81240908,0.367516771,-0.288188405,0.045551793,0.825775823,-1.073169603,1.002399843,-0.967258745,0.547944146,-0.408359753,0.044883499,-25.02703152,16.5589253,-3.64762929,-41.20869133,-24.75892789,17.13476657,-13.48734057,-48.53614096
0.15,0.539710264,-0.735411126,0.5883497,-0.681265286,0.181945693,-0.371301259,0.006172343,0.339682785,-0.792351249,0.458817264,-0.460342679,0.05777233,-0.148539782,0.004030956,0.969523429,-1.116852745,0.967879298,-0.974843131,0.508831549,-0.462873995,0.024947726,0.778260742,-1.052588552,0.605104795,-0.74610498,0.304301029,-0.338957817,0.027537187,0.634505762,-0.561323919,0.663194009,-0.409032706,0.231640916,-0.328961712,0.006180574,4.710783935,-9.699955975,11.40944866,-8.229896282,3.470807189,-0.662124612,0.000540953,1.100656215,-1.208433573,0.831864614,-0.862409784,0.543372986,-0.174402885,0.025564,0.898488188,-0.883265214,0.682398315,-0.60911633,0.067297386,-0.183727819,0.020631111,0.709646285,-0.757889171,0.646660529,-0.547634058,0.22716237,-0.25669037,0.009061761,0.738478785,-1.099227431,0.708030713,-0.735726429,0.356532533,-0.402267301,0.017914779,0.536630544,-0.935947081,0.560115791,-0.878603974,0.303463747,-0.418656676,0.043487905,0.630489692,-1.137018662,0.68985839,-0.929750488,0.363047945,-0.49926634,0.064367305,1.115222654,-1.235751273,0.975414609,-0.903650311,0.670212849,-0.428344763,0.039710067,0.827827381,-0.933756607,0.838365177,-0.80878781,0.495621378,-0.333411006,0.05073493,-25.38105672,16.50698883,-3.4272705,-41.39382907,-24.85915473,17.1447228,-12.61081053,-48.79955054
0.2,0.638939005,-0.848262191,0.639632519,-0.641735523,0.202699091,-0.313785963,0.007435695,0.468929376,-0.685515959,0.631627173,-0.459231886,0.253256872,-0.163313594,0.004498055,0.951319846,-0.886902157,0.756780591,-0.828919569,0.456946713,-0.314714636,0.020137198,0.950370404,-1.040711077,0.923229997,-0.969723222,0.495324043,-0.338979359,0.027828799,0.951975702,-0.673240299,0.62996098,-0.565773927,0.285146412,-0.327861181,0.010653215,4.725942206,-9.772163461,11.49551706,-8.202009747,3.369810722,-0.618201519,0.000320877,1.232606996,-1.61093016,1.342002381,-1.009222051,0.382936984,-0.271316737,0.030310906,0.629476113,-0.840061382,0.754186392,-0.553784113,0.287398664,-0.336657894,0.016879476,0.604742641,-0.96099042,0.554060687,-0.729077144,0.379241081,-0.305370246,0.008738933,0.639993216,-1.107280204,0.405996437,-0.669312807,0.177232279,-0.385910892,0.022757795,0.122024254,-1.025777855,0.271396281,-0.831102775,0.019935245,-0.342197788,0.050899311,0.727704293,-1.180426726,0.747273868,-1.035351783,0.488001997,-0.542548314,0.063158932,1.048383436,-1.271176062,1.074145156,-0.883544566,0.492865602,-0.346305343,0.045692817,1.017693939,-1.15839981,0.956552292,-0.805218999,0.348502111,-0.162108337,0.050774178,-25.51622965,16.55643434,-3.61656272,-40.79403196,-24.91004207,17.23094012,-11.88451343,-49.79766704
0.25,0.719337021,-0.855145791,0.553366492,-0.639383289,0.302596316,-0.260360338,0.007966772,0.586729963,-0.732100973,0.680880138,-0.638830745,0.348151104,-0.263407549,0.004813283,0.724033143,-0.776855899,0.57609386,-0.648628023,0.276465507,-0.372835995,0.017545837,0.945462925,-1.124122026,0.992164461,-1.027416505,0.553687274,-0.424043396,0.044198073,0.853511292,-0.796819433,0.784166386,-0.619347222,0.310329563,-0.302801684,0.011328113,4.889423328,-10.43499651,12.5881688,-9.141929809,3.807375435,-0.709302472,0.000544549,1.1310961,-1.487135101,1.128316865,-0.919440387,0.34193739,-0.28476542,0.036982611,0.603975511,-0.824852293,0.683037392,-0.664471611,0.31866902,-0.45994269,0.01499083,0.548018054,-0.911730082,0.533497623,-0.669233318,0.288285681,-0.173370908,0.008945634,0.534918299,-1.051502942,0.421776271,-0.784520033,0.245315257,-0.410576538,0.020113957,0.173266369,-1.173398016,0.264329367,-0.946356289,0.090707752,-0.411964607,0.061732585,0.65326624,-1.044483667,0.624366119,-0.852383086,0.42886848,-0.527572956,0.057691337,1.156864562,-1.470840896,1.114290126,-0.846467313,0.331696744,-0.255042535,0.041012007,1.056813755,-1.305617245,1.082848233,-0.926482337,0.414091642,-0.253794985,0.050356918,-25.39591795,16.63952774,-3.51298617,-39.73933432,-24.85395876,17.28775597,-12.44917541,-50.79148203
0.3,0.706025925,-0.816872608,0.5817017,-0.769572417,0.388453498,-0.350796642,0.006785689,0.527953735,-0.930697421,0.587101884,-0.7308016,0.277779884,-0.317969902,0.005400081,0.829482445,-0.947517501,0.758454591,-0.733477555,0.4070073,-0.39680315,0.021770827,0.912304805,-0.925237547,0.738387706,-0.652627132,0.423570532,-0.34501815,0.0306167,0.666145689,-0.806374978,0.754737078,-0.670713994,0.383876831,-0.384626857,0.00702618,4.7742821,-10.0316002,12.02059188,-8.735851643,3.656476536,-0.685422743,0.000582921,0.937040449,-1.204386156,0.737570526,-0.750126465,0.335697345,-0.302168244,0.029866929,0.456527022,-0.670684176,0.619618775,-0.525128343,0.346765298,-0.443468328,0.010264038,0.36381513,-0.774792298,0.327613669,-0.489180915,0.108830195,-0.130270148,0.007222252,0.608964463,-0.849613857,0.591876431,-0.608169147,0.290265258,-0.294857602,0.013006015,0.308135368,-1.1234291,0.256458689,-0.888404565,0.124098296,-0.445317833,0.056762559,0.535302734,-0.973142408,0.599936752,-0.695276532,0.267178245,-0.354083359,0.057423265,1.004295511,-1.375603336,1.130282489,-0.890154015,0.44855107,-0.228645066,0.021816094,0.931302399,-1.163418698,0.9246388,-0.897631821,0.451981448,-0.296457009,0.045401278,-25.26699886,16.78073519,-3.17882231,-40.36133672,-24.73566909,17.39692601,-10.99383019,-51.60676366
0.35,0.715644873,-0.896211854,0.970924433,-0.763412177,0.450874765,-0.416935478,0.00516612,0.667982001,-0.872751583,0.677814956,-0.650158763,0.377700179,-0.345281945,0.006298518,0.828615381,-0.901644768,0.856118613,-0.73215852,0.435309192,-0.413335015,0.020157526,0.758823356,-1.008250283,0.829680415,-0.915744465,0.546057248,-0.432727669,0.015335159,0.616379641,-0.830426959,0.731579086,-0.708240696,0.569124034,-0.459670475,0.005166652,4.757227924,-9.953005542,11.80662029,-8.40856954,3.407107607,-0.611940171,0.000375387,0.79784327,-1.109749082,0.629714723,-0.667141935,0.375714263,-0.232939775,0.01693768,0.245632874,-0.71031479,0.499000882,-0.405885685,0.191952134,-0.296439745,0.008316643,0.454889155,-0.610377139,0.239290631,-0.40488247,0.257750461,-0.133745643,0.00636859,0.704585493,-0.992921257,0.737659509,-0.723111087,0.397865951,-0.369136879,0.010188818,0.201998749,-1.008582886,0.167293501,-0.849743412,0.042712122,-0.434306069,0.045429118,0.454638135,-1.023661475,0.584893975,-0.792628676,0.182828022,-0.332803541,0.04626395,0.676780844,-0.834884075,0.682341959,-0.60551648,0.215951379,-0.147626632,0.013018298,0.996886725,-1.155748484,0.994354304,-0.95844342,0.52852706,-0.314326154,0.035413876,-25.32210588,16.9379821,-0.96296183,-41.08529534,-24.60610603,17.34577083,-8.87453269,-50.93451811
0.4,0.759884499,-0.87587061,0.863371685,-0.741089276,0.336467345,-0.252122258,0.005269497,0.45034022,-0.66330135,0.672701874,-0.48483938,0.333725318,-0.436714912,0.00596926,0.82908189,-0.825506487,0.793789449,-0.73784436,0.527648052,-0.528259256,0.01434169,1.217628801,-1.361795594,1.06938574,-1.002085084,0.554708303,-0.338386364,0.035919271,0.720813969,-0.926061466,0.770252189,-0.787372966,0.495896858,-0.35414626,0.006879556,4.570390622,-9.052207709,10.04935624,-6.659155176,2.51077473,-0.421309705,0.000279755,0.502451798,-0.825726582,0.529562572,-0.602375061,0.359574406,-0.345803967,0.004702178,0.175800504,-0.664261821,0.632578894,-0.390116249,0.10564196,-0.338269817,0.008876096,0.853943065,-0.868557246,0.699079801,-0.680211021,0.498135079,-0.288411913,0.00628503,0.49409248,-0.657597369,0.570285484,-0.627898145,0.341626723,-0.372439076,0.005713206,0.572140883,-1.075171676,0.737350656,-0.825863397,0.205463233,-0.354184843,0.019539339,0.341143488,-0.441624058,0.434840128,-0.177133762,0.142389548,-0.03953217,0.006220105,0.450210891,-0.807854267,0.432909676,-0.628994326,0.171462433,-0.443709568,0.018278435,0.633963712,-0.750272748,0.68292331,-0.477616769,0.183735971,-0.088351004,0.013084968,-25.61234504,17.02248292,1.5336084,-40.25830529,-24.41215111,17.09271747,-8.22118663,-46.18791185
0.45,0.665317356,-0.758650453,0.528432581,-0.586732105,0.189941319,-0.163890531,0.005676749,0.319564213,-0.517737043,0.362613215,-0.3670292,0.292233771,-0.363344682,0.004189986,0.654684615,-0.777686881,0.654967034,-0.677563765,0.413505093,-0.322292637,0.009070955,1.120870099,-1.233296831,0.980582011,-1.006948697,0.619491133,-0.442501141,0.043930258,1.288021093,-1.384419347,1.104025885,-1.178502437,0.693033347,-0.462911858,0.015914297,4.75109104,-9.866929677,11.58085617,-8.16826736,3.293307072,-0.591929102,0.000269752,0.866884992,-1.629583213,0.976622454,-1.518693751,0.550936467,-0.722457289,0.013639299,0.182006756,-0.59184383,0.688921231,-0.424281237,0.135921875,-0.401896248,0.008650756,0.774044988,-0.727106787,0.821904982,-0.818711543,0.49527772,-0.303318578,0.004949322,0.447583907,-0.790218799,0.525504291,-0.775259048,0.370682887,-0.401499526,0.005471495,0.614918015,-1.083174904,0.778714781,-0.836624206,0.228398956,-0.35551877,0.018303301,0.48421773,-0.589869559,0.730202502,-0.420029466,0.268879706,-0.327064678,0.00513461,0.458673073,-0.78075296,0.466220653,-0.633020372,0.210067259,-0.45223908,0.018762815,0.471096156,-0.734393888,0.564550057,-0.553365461,0.116218033,-0.172391653,0.012702512,-26.12853197,17.02419781,2.76374079,-40.23523517,-24.35107003,16.79229632,-8.54501018,-44.82840585
