Time,DEMG1_AR1,DEMG1_AR2,DEMG1_AR3,DEMG1_AR4,DEMG1_AR5,DEMG1_AR6,DEMG1_RMS,DEMG3_AR1,DEMG3_AR2,DEMG3_AR3,DEMG3_AR4,DEMG3_AR5,DEMG3_AR6,DEMG3_RMS,DEMG5_AR1,DEMG5_AR2,DEMG5_AR3,DEMG5_AR4,DEMG5_AR5,DEMG5_AR6,DEMG5_RMS,DEMG7_AR1,DEMG7_AR2,DEMG7_AR3,DEMG7_AR4,DEMG7_AR5,DEMG7_AR6,DEMG7_RMS,DEMG9_AR1,DEMG9_AR2,DEMG9_AR3,DEMG9_AR4,DEMG9_AR5,DEMG9_AR6,DEMG9_RMS,DEMG11_AR1,DEMG11_AR2,DEMG11_AR3,DEMG11_AR4,DEMG11_AR5,DEMG11_AR6,DEMG11_RMS,DEMG13_AR1,DEMG13_AR2,DEMG13_AR3,DEMG13_AR4,DEMG13_AR5,DEMG13_AR6,DEMG13_RMS,knee_angle_l,ankle_angle_l,knee_angle_l_moment,ankle_angle_l_moment
0,0.470113063,-0.697457128,0.447581363,-0.435433174,0.23762392,-0.260587216,0.004899621,1.00749491,-1.131585451,0.900482602,-1.033218814,0.677143672,-0.485871205,0.026236727,0.326851499,-0.945732261,0.442131862,-0.670195982,0.325092773,-0.323924132,0.006044009,0.731802874,-0.975764814,0.624373557,-0.663228983,0.306593201,-0.249139922,0.050338282,0.617862418,-0.771727298,0.664322313,-0.634017675,0.262110011,-0.331740517,0.009859298,0.432690719,-0.872085514,0.334303003,-0.727722501,0.2296183,-0.361775794,0.064313524,0.410820328,-0.751378379,0.468301087,-0.531698941,0.300484173,-0.404394119,0.039816921,-24.42374561,17.37618343,-12.39880006,-47.14898676
0.05,0.589625542,-0.794436437,0.74651008,-0.669869101,0.300212665,-0.329285062,0.004216883,0.847376144,-0.895534283,0.790332386,-0.870758272,0.42631178,-0.381239491,0.023257898,0.469013185,-0.857181172,0.599288451,-0.64621281,0.321104837,-0.261369268,0.005513313,0.786616676,-0.927201325,0.636501075,-0.63618985,0.393650748,-0.270263456,0.04182269,0.874506773,-1.035258736,0.821389585,-0.705214163,0.247360831,-0.319222199,0.008942637,0.435963115,-0.971299954,0.383121147,-0.598553357,0.0719302,-0.22587398,0.060034475,0.533840201,-0.949858537,0.543736022,-0.639792459,0.293036965,-0.288820704,0.044470506,-24.60815211,17.2112071,-13.04846123,-48.58706904
0.1,0.498026457,-0.803478953,0.616367174,-0.616463987,0.252031673,-0.356358784,0.004461556,0.877748421,-1.10670444,0.894735732,-0.935231503,0.446254267,-0.40393436,0.024863051,0.398833245,-0.61986313,0.447653757,-0.531377279,0.290711116,-0.243762782,0.00479766,1.076557245,-1.218916002,0.895049738,-0.808373215,0.481064677,-0.237492211,0.034124124,0.831039008,-1.001709822,0.711446114,-0.627831507,0.258625766,-0.215689328,0.009800101,0.403853215,-1.090727848,0.489621562,-1.005865306,0.203111094,-0.507669707,0.060996729,0.703150412,-1.062745384,0.651604031,-0.81240908,0.367516771,-0.288188405,0.045551793,-24.75892789,17.13476657,-13.48734057,-48.53614096
0.15,0.539710264,-0.735411126,0.5883497,-0.681265286,0.181945693,-0.371301259,0.006172343,0.969523429,-1.116852745,0.967879298,-0.974843131,0.508831549,-0.462873995,0.024947726,0.634505762,-0.561323919,0.663194009,-0.409032706,0.231640916,-0.328961712,0.006180574,1.100656215,-1.208433573,0.831864614,-0.862409784,0.543372986,-0.174402885,0.025564,0.709646285,-0.757889171,0.646660529,-0.547634058,0.22716237,-0.25669037,0.009061761,0.536630544,-0.935947081,0.560115791,-0.878603974,0.303463747,-0.418656676,0.043487905,1.115222654,-1.235751273,0.975414609,-0.903650311,0.670212849,-0.428344763,0.039710067,-24.85915473,17.1447228,-12.61081053,-48.79955054
0.2,0.638939005,-0.848262191,0.639632519,-0.641735523,0.202699091,-0.313785963,0.007435695,0.951319846,-0.886902157,0.756780591,-0.828919569,0.456946713,-0.314714636,0.020137198,0.951975702,-0.673240299,0.62996098,-0.565773927,0.285146412,-0.327861181,0.010653215,1.232606996,-1.61093016,1.342002381,-1.009222051,0.382936984,-0.271316737,0.030310906,0.604742641,-0.96099042,0.554060687,-0.729077144,0.379241081,-0.305370246,0.008738933,0.122024254,-1.025777855,0.271396281,-0.831102775,0.019935245,-0.342197788,0.050899311,1.048383436,-1.271176062,1.074145156,-0.883544566,0.492865602,-0.346305343,0.045692817,-24.91004207,17.23094012,-11.88451343,-49.79766704
0.25,0.719337021,-0.855145791,0.553366492,-0.639383289,0.302596316,-0.260360338,0.007966772,0.724033143,-0.776855899,0.57609386,-0.648628023,0.276465507,-0.372835995,0.017545837,0.853511292,-0.796819433,0.784166386,-0.619347222,0.310329563,-0.302801684,0.011328113,1.1310961,-1.487135101,1.128316865,-0.919440387,0.34193739,-0.28476542,0.036982611,0.548018054,-0.911730082,0.533497623,-0.669233318,0.288285681,-0.173370908,0.008945634,0.173266369,-1.173398016,0.264329367,-0.946356289,0.090707752,-0.411964607,0.061732585,1.156864562,-1.470840896,1.114290126,-0.846467313,0.331696744,-0.255042535,0.041012007,-24.85395876,17.28775597,-12.44917541,-50.79148203
0.3,0.706025925,-0.816872608,0.5817017,-0.769572417,0.388453498,-0.350796642,0.006785689,0.829482445,-0.947517501,0.758454591,-0.733477555,0.4070073,-0.39680315,0.021770827,0.666145689,-0.806374978,0.754737078,-0.670713994,0.383876831,-0.384626857,0.00702618,0.937040449,-1.204386156,0.737570526,-0.750126465,0.335697345,-0.302168244,0.029866929,0.36381513,-0.774792298,0.327613669,-0.489180915,0.108830195,-0.130270148,0.007222252,0.308135368,-1.1234291,0.256458689,-0.888404565,0.124098296,-0.445317833,0.056762559,1.004295511,-1.375603336,1.130282489,-0.890154015,0.44855107,-0.228645066,0.021816094,-24.73566909,17.39692601,-10.99383019,-51.60676366
0.35,0.715644873,-0.896211854,0.970924433,-0.763412177,0.450874765,-0.416935478,0.00516612,0.828615381,-0.901644768,0.856118613,-0.73215852,0.435309192,-0.413335015,0.020157526,0.616379641,-0.830426959,0.731579086,-0.708240696,0.569124034,-0.459670475,0.005166652,0.79784327,-1.109749082,0.629714723,-0.667141935,0.375714263,-0.232939775,0.01693768,0.454889155,-0.610377139,0.239290631,-0.40488247,0.257750461,-0.133745643,0.00636859,0.201998749,-1.008582886,0.167293501,-0.849743412,0.042712122,-0.434306069,0.045429118,0.676780844,-0.834884075,0.682341959,-0.60551648,0.215951379,-0.147626632,0.013018298,-24.60610603,17.34577083,-8.87453269,-50.93451811
0.4,0.759884499,-0.87587061,0.863371685,-0.741089276,0.336467345,-0.252122258,0.005269497,0.82908189,-0.825506487,0.793789449,-0.73784436,0.527648052,-0.528259256,0.01434169,0.720813969,-0.926061466,0.770252189,-0.787372966,0.495896858,-0.35414626,0.006879556,0.502451798,-0.825726582,0.529562572,-0.602375061,0.359574406,-0.345803967,0.004702178,0.853943065,-0.868557246,0.699079801,-0.680211021,0.498135079,-0.288411913,0.00628503,0.572140883,-1.075171676,0.737350656,-0.825863397,0.205463233,-0.354184843,0.019539339,0.450210891,-0.807854267,0.432909676,-0.628994326,0.171462433,-0.443709568,0.018278435,-24.41215111,17.09271747,-8.22118663,-46.18791185
0.45,0.665317356,-0.758650453,0.528432581,-0.586732105,0.189941319,-0.163890531,0.005676749,0.654684615,-0.777686881,0.654967034,-0.677563765,0.413505093,-0.322292637,0.009070955,1.288021093,-1.384419347,1.104025885,-1.178502437,0.693033347,-0.462911858,0.015914297,0.866884992,-1.629583213,0.976622454,-1.518693751,0.550936467,-0.722457289,0.013639299,0.774044988,-0.727106787,0.821904982,-0.818711543,0.49527772,-0.303318578,0.004949322,0.614918015,-1.083174904,0.778714781,-0.836624206,0.228398956,-0.35551877,0.018303301,0.458673073,-0.78075296,0.466220653,-0.633020372,0.210067259,-0.45223908,0.018762815,-24.35107003,16.79229632,-8.54501018,-44.82840585
